"Place ID","Title","Latitude","Longitude"
"111","MSTE","40.110126","-88.231529"
"120","Illini Union","40.109243","-88.227253"
"160","Proposed Compost Facility","40.065633","-88.208896"
"170","Physical Plant Service Building","40.098866","-88.241827"
"274","Prairie at Florida & Orchard","40.098206","-88.214306"
"291","Illinois Terminal","40.115660","-88.241458"
"292","Campus Bike Center","40.103832","-88.240471"
"293","Alma Mater","40.110010","-88.228540"
"294","Vet Med Building","40.093162","-88.220944"
"295","Krannert Center for the Performing Arts","40.108013","-88.222747"
"296","Business Instructional Facility (BIF)","40.103787","-88.230930"
"297","Sustainable Student Farm","40.079867","-88.218301"
"299","Allen Hall","40.103860","-88.221545"
"308","Pennsylvania Avenue Residence Halls (PAR)","40.099467","-88.220356"
"314","Abbott Power Plant","40.105071","-88.241523"
"315","Transit Plaza","40.108670","-88.228825"
"318","Waste Transfer Station ","40.094472","-88.244419"
"321","Activities and Recreation Center (ARC)","40.101313","-88.236018"
"331","Solar Farm 1.0","40.082233","-88.244399"
"332"," Allerton Park & Retreat Center","40.003508","-88.651103"
"333","Beef and Sheep Field Research Laboratory","40.069351","-88.209228"
"334","Oak Street Chiller Plant","40.101569","-88.241939"
"335","Ikenberry Commons / SDRP","40.104109","-88.235278"
"336","Languages, Cultures, and Linguistics Building (LCLB)","40.106281","-88.225676"
"341","Newmark Civil Engineering Laboratory","40.114101","-88.227124"
"416","Undergraduate Library","40.104451","-88.226872"
"418","Campus Recreation Center East (CRCE)","40.104509","-88.221953"
"419","Ice Arena","40.105414","-88.233355"
"420","Institute for Genomic Biology","40.104993","-88.224893"
"421","Altgeld Hall","40.109580","-88.228380"
"422","Coordinated Science Laboratory (CSL)","40.114766","-88.226738"
"423","Foellinger Auditorium","40.107299","-88.225515"
"433","Main Library","40.104730","-88.228798"
"435","Thermal Energy Storage Tank","40.096604","-88.241449"
"454","Electrical and Computer Engineering (ECE) Building","40.114917","-88.228412"
"455","North Campus Parking Deck (NCPD)","40.116395","-88.224125"
"465","4th Street","40.102501","-88.233433"
"466","Gregory Drive East","40.104151","-88.229538"
"467","Gregory Drive West","40.104102","-88.240192"
"468","Sixth Street","40.104791","-88.230278"
"469","Lincoln & Illinois","40.109115","-88.219410"
"479","Military Axis","40.102657","-88.229721"
"483","Forbes Natural History Building","40.092155","-88.239991"
"484","Art & Design Building","40.101494","-88.232982"
"515","Freer Hall","40.105002","-88.223826"
"516","Agricultural Engineering Sciences Building","40.100587","-88.226612"
"542","Mechanical Engineering Laboratory","40.111829","-88.226100"
"543","Loomis Laboratory","40.111079","-88.223338"
"544","Armory","40.104976","-88.232286"
"545","David Kinley Hall","40.103764","-88.228375"
"546","Education Building","40.102195","-88.229625"
"547","Psychology Laboratory","40.107696","-88.229920"
"548","Smith Memorial Hall","40.105813","-88.226068"
"641","ACES Library","40.102392","-88.224917"
"643","Wohlers Hall","40.103510","-88.230066"
"645","Music Building","40.106597","-88.222940"
"648","Madigan Laboratory Building","40.104162","-88.224695"
"651","Chemical & Life Sciences Laboratory","40.108013","-88.223890"
"653","Animal Sciences Laboratory","40.104168","-88.223862"
"656","Siebel Center","40.113825","-88.224076"
"659","National Center for Supercomputing Applications","40.114922","-88.224860"
"661","Illini Union Bookstore","40.108720","-88.228886"
"664","Bevier Hall","40.104724","-88.224197"
"667","Henry Administration Building","40.108397","-88.228276"
"669","Grainger Engineering Library","40.112511","-88.226822"
"673","Digital Computer Laboratory","40.112730","-88.228798"
"677","Water Survey Research Center","40.086940","-88.242555"
"679","Spurlock Museum","40.107552","-88.220685"
"682","Illinois Sustainable Technology Center (ISTC)","40.090784","-88.241974"
"684","Engineering Hall","40.110533","-88.227331"
"686","Campbell Hall","40.110148","-88.223760"
"688","Beckman Institute for Advanced Science and Technology","40.115684","-88.226760"
"691","Medical Sciences Building","40.108778","-88.225538"
"693","English Building","40.107588","-88.228246"
"694","National Soybean Research Center","40.101204","-88.222610"
"695","Turner Student Services Building","40.109349","-88.230022"
"696","Engineering Sciences Building","40.112420","-88.223524"
"697","Materials Science and Engineering Building","40.110757","-88.225874"
"701","Talbot Laboratory","40.112053","-88.228541"
"702","Materials Research Laboratory","40.111615","-88.223964"
"703","Plant Sciences Laboratory","40.102833","-88.222872"
"704","Mumford Hall","40.104168","-88.223862"
"705","Advanced Computation Building","40.112771","-88.220906"
"706","Child Development Laboratory","40.105795","-88.222462"
"707","Law Building","40.100623","-88.231646"
"708","Davenport Hall","40.107192","-88.226030"
"709","Noyes Laboratory","40.108407","-88.225976"
"710","Natural History Building","40.110472","-88.225611"
"711","Roger Adams Laboratory","40.107469","-88.224823"
"742","Gregory Hall","40.105778","-88.228390"
"743","Morrill Hall","40.108756","-88.224506"
"744","Lincoln Hall","40.106633","-88.228413"
"745","Computing Applications Building","40.112479","-88.229953"
"746","Vet Med Basic Sciences Building","40.090941","-88.222270"
"747","Vet Med Large Animal Clinic","40.091681","-88.221948"
"748","Vet Med Small Animal Clinic","40.090941","-88.222270"
"749","Vet Med Surgical Obstetrics Laboratory","40.090941","-88.222270"
"750","Vet Med Chiller Plant","40.090941","-88.222270"
"751","Illinois State Water Survey","40.086940","-88.242555"
"775","Administrative Information Technology Services (AITS)","40.087091","-88.240915"
"776","Agriculture Bioprocess Lab","40.100596","-88.226597"
"777","Architecture Building","40.102977","-88.229511"
"778","Art East Annex- Studio 1","40.101536","-88.223140"
"779","Atkins Tennis Center","40.096314","-88.228645"
"780","Atmospheric Sciences Building","40.112736","-88.220691"
"781","Central Receiving Building","40.097849","-88.241446"
"782","Ceramics Building","40.111671","-88.224247"
"783","Ceramics Kiln House","40.111609","-88.224860"
"784","Children's Research Center","40.087086","-88.240810"
"785","Civil Engineering Ven Te Chow Hydrosystems Laboratory","40.114762","-88.226075"
"786","Coble Hall","40.108685","-88.228937"
"787","Colonel Wolfe School","40.111457","-88.233260"
"788","Fire Service Institute- Classroom/ Office Building","40.087029","-88.243576"
"789","Fire Service Institute- South Storage Building","40.087029","-88.243576"
"790","Fire Service Institute- Storage Building","40.087029","-88.243576"
"791","Fire Service Institute- Hazmat Storage Building","40.087029","-88.243576"
"792","Fire Service Institute- Firemanship Training Facility","40.087029","-88.243576"
"793","Fire Service Institute- Fire Station","40.087029","-88.243576"
"794","Garage/ Car Pool","40.096800","-88.241447"
"795","Geological Survey Laboratory","40.105145","-88.241505"
