course_subject,course_number,course_name,instructor_last,instructor_first,avg_gpa
AAS,100,Intro Asian American Studies,Arai,Sayuri,3.64
AAS,100,Intro Asian American Studies,Arnaldo,Constancio,3.5975
AAS,100,Intro Asian American Studies,Carter,Regina S,3.745
AAS,100,Intro Asian American Studies,Davis,Thomas E,3.697142857142857
AAS,100,Intro Asian American Studies,Geng,Zhe,3.75
AAS,100,Intro Asian American Studies,Kang,Yoonjung,3.24
AAS,100,Intro Asian American Studies,Kim,Gabriel D,3.65
AAS,100,Intro Asian American Studies,Kim,Sujung,3.86
AAS,100,Intro Asian American Studies,Kinase-Leggett,Elizabeth,3.535
AAS,100,Intro Asian American Studies,Kwon,Soo Ah,3.9
AAS,100,Intro Asian American Studies,Kwon,Yaejoon,3.428
AAS,100,Intro Asian American Studies,Lee,Alexander J,3.87
AAS,100,Intro Asian American Studies,Lee,Amy J,3.46
AAS,100,Intro Asian American Studies,Lee,Sang S,3.44625
AAS,100,Intro Asian American Studies,Livingston,Susan B,3.785
AAS,100,Intro Asian American Studies,Manalansan,Martin F,3.98
AAS,100,Intro Asian American Studies,Marasigan,Cynthia L,3.4
AAS,100,Intro Asian American Studies,Mariano,Lorena,3.54
AAS,100,Intro Asian American Studies,Mukhopadhyay,Anirban,3.835
AAS,100,Intro Asian American Studies,Peralta,Christine N,3.6485714285714286
AAS,100,Intro Asian American Studies,Pyon,Heekyong T,3.84
AAS,100,Intro Asian American Studies,Thomas,Merin A,3.4966666666666666
AAS,100,Intro Asian American Studies,Tsou,Elda,3.52
AAS,100,Intro Asian American Studies,Wang,Yu,3.7433333333333336
AAS,100,Intro Asian American Studies,Winkelmann,Marie T,3.5533333333333332
AAS,100,Intro Asian American Studies,Zheng,Reanne,3.35
AAS,105,Intro to Arab Am Studies,Sharif,Lila A,3.69
AAS,120,Intro to Asian Am Pop Culture,Arai,Sayuri,2.95
AAS,120,Intro to Asian Am Pop Culture,Chin,Christina B,3.2199999999999998
AAS,120,Intro to Asian Am Pop Culture,Esguerra,Maria Paz G,3.35
AAS,120,Intro to Asian Am Pop Culture,Huang,Ningning,3.78
AAS,120,Intro to Asian Am Pop Culture,Komaki,Ryuta,3.495
AAS,120,Intro to Asian Am Pop Culture,Lee,Alexander J,3.0399999999999996
AAS,120,Intro to Asian Am Pop Culture,Lee,Sandra,3.635
AAS,120,Intro to Asian Am Pop Culture,Pham,Vincent N,3.016666666666667
AAS,120,Intro to Asian Am Pop Culture,Washington,Myra S,3.33
AAS,200,U.S. Race and Empire,Sawada,Emilia R,3.86
AAS,200,U.S. Race and Empire,Siglos,David G,3.47
AAS,211,Asian Americans and the Arts,Nguyen,Mimi T,2.96
AAS,211,Asian Americans and the Arts,Sawada,Emilia R,3.96
AAS,211,Asian Americans and the Arts,Yang,Caroline H,3.76
AAS,215,US Citizenship Comparatively,Cacho,Lisa M,3.145
AAS,215,US Citizenship Comparatively,Siglos,David G,3.66
AAS,246,Asian American Youth in Film,Kwon,Soo Ah,3.7375
AAS,258,Muslims in America,Rana,Junaid,3.8200000000000003
AAS,287,Food and Asian Americans,Kang,Simrat A,3.81
AAS,287,Food and Asian Americans,Manalansan,Martin F,3.75
AAS,287,Food and Asian Americans,Sharif,Lila A,3.96
AAS,315,"War, Memory, and Cinema",Ngo,Fiona,3.37
